time,cpu_total_pct,cores_of_work,cores_busy,ram_used_mb,ram_pct,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
10:41:47,799,7.99,8,8502,27,100,100,100,100,100,100,100,100
10:41:49,799,7.99,8,8509,27,100,100,100,100,100,100,100,100
10:41:51,799,7.99,8,8518,27,100,100,100,100,100,100,100,100
10:41:53,798,7.99,8,8513,27,100,100,100,100,100,100,100,100
10:41:55,799,7.99,8,8504,27,100,100,100,100,100,100,100,100
10:41:57,800,8.00,8,8511,27,100,100,100,100,100,100,100,100
10:41:59,799,7.99,8,8511,27,100,99,100,100,100,100,100,100
10:42:01,798,7.98,8,8517,27,100,100,100,100,100,100,99,100
10:42:03,798,7.99,8,8501,27,100,100,100,100,100,100,100,100
10:42:05,799,7.99,8,8498,27,100,100,100,100,100,100,100,100
10:42:07,798,7.98,8,8499,27,100,100,100,100,100,100,100,100
10:42:09,799,7.99,8,8506,27,100,100,100,100,100,100,100,100
10:42:11,799,7.99,8,8503,27,100,100,100,100,100,100,100,100
10:42:13,798,7.98,8,8510,27,100,100,100,100,100,100,100,100
10:42:15,797,7.97,8,8570,27,100,100,100,100,100,100,99,100
10:42:17,799,7.99,8,8500,27,100,100,100,100,100,100,100,100
10:42:19,798,7.98,8,8501,27,100,99,100,100,100,100,100,100
10:42:21,798,7.98,8,8521,27,100,100,100,100,100,99,100,99
10:42:23,798,7.98,8,8504,27,100,100,100,100,100,100,100,100
10:42:25,800,8.00,8,8516,27,100,100,100,100,100,100,100,100
10:42:27,798,7.98,8,8516,27,100,100,100,100,100,100,100,100
10:42:29,800,8.00,8,8507,27,100,100,100,100,100,100,100,100
10:42:31,798,7.98,8,8503,27,99,100,99,100,100,99,100,100
10:42:33,798,7.98,8,8510,27,100,100,100,99,100,100,100,100
10:42:35,799,7.99,8,8511,27,100,100,100,100,100,100,100,100
10:42:37,799,7.99,8,8515,27,100,100,99,100,100,100,100,100
10:42:39,797,7.97,8,8512,27,100,99,100,100,100,100,100,99
10:42:41,800,8.00,8,8513,27,100,100,100,100,100,100,100,100
10:42:43,798,7.98,8,8521,27,100,100,100,100,100,100,100,100
10:42:45,798,7.98,8,8522,27,100,100,100,100,100,100,100,99
10:42:47,799,7.99,8,8512,27,100,100,100,100,100,100,99,100
10:42:49,799,7.99,8,8507,27,99,100,100,100,100,100,100,100
10:42:51,797,7.97,8,8506,27,100,100,100,100,99,100,100,100
10:42:53,798,7.98,8,8517,27,100,100,100,100,99,99,99,100
10:42:55,798,7.98,8,8513,27,100,100,100,100,100,100,100,100
10:42:57,799,7.99,8,8504,27,100,100,100,100,100,100,99,100
